problem,algorithm,time-required,space-required,solution,optimal-solution,solution-quality,problem-size
gil262,christofides,0.8135311603546143,9304.0,2719.377097921468,2378,0.125535034542431,262
gil262,twice-around-the-tree,0.0734388828277587,8392.0,3358.1541767582894,2378,0.2918728936098035,262
nrw1379,christofides,135.72169494628906,49272.0,64474.0668269643,56638,0.1215382744196168,1379
nrw1379,twice-around-the-tree,2.8230905532836914,44136.0,79156.2650653691,56638,0.2844786201922613,1379
p654,christofides,7.488559007644653,21944.0,39429.3871309186,34643,0.1213913651517385,654
p654,twice-around-the-tree,0.5056772232055664,20936.0,49731.89542216019,34643,0.3034047927205421,654
pcb1173,christofides,58.44087171554565,40920.0,63112.70097426472,56892,0.098564962016145,1173
pcb1173,twice-around-the-tree,1.893171548843384,37544.0,80694.8928627429,56892,0.2949739694583915,1173
pcb3038,christofides,1052.0644898414612,106264.0,154936.3892591088,137694,0.1112868922630783,3038
pcb3038,twice-around-the-tree,15.816110372543337,97224.0,196573.8992219609,137694,0.2995306063267171,3038
pcb442,christofides,3.3653013706207275,15672.0,55290.50617848888,50778,0.0816144848434124,442
pcb442,twice-around-the-tree,0.2033889293670654,14152.0,69364.90250618651,50778,0.2679583165928732,442
pr1002,christofides,41.36583757400513,35800.0,288747.9501859648,259045,0.1028680902040513,1002
pr1002,twice-around-the-tree,1.2967681884765625,32072.0,342244.46239584225,259045,0.243099513761053,1002
pr107,christofides,0.0468034744262695,3784.0,47908.94274807253,44303,0.0752665899357088,107
pr107,twice-around-the-tree,0.0113506317138671,3432.0,54238.03661175547,44303,0.1831747097128911,107
pr124,christofides,0.0598254203796386,4232.0,64210.23115552175,59030,0.0806761019591233,124
pr124,twice-around-the-tree,0.0145771503448486,3976.0,74140.95964828487,59030,0.2038139204020194,124
pr136,christofides,0.0715284347534179,4632.0,103500.32344411162,96772,0.0650077528283745,136
pr136,twice-around-the-tree,0.0174474716186523,4360.0,151913.74200165656,96772,0.3629806051453545,136
pr144,christofides,0.0805284976959228,4808.0,70827.91738175366,58537,0.1735321019748067,144
pr144,twice-around-the-tree,0.0191304683685302,4616.0,80596.32004796875,58537,0.2737013307163359,144
pr152,christofides,0.0921037197113037,5080.0,79246.02588075907,73682,0.0702120493604464,152
pr152,twice-around-the-tree,0.0210132598876953,4872.0,87998.6939814051,73682,0.1626921188674725,152
pr226,christofides,0.3769583702087402,7928.0,92260.06811487427,80369,0.1288864007781626,226
pr226,twice-around-the-tree,0.0546116828918457,7240.0,116692.15371518278,80369,0.3112733166605081,226
pr2392,christofides,500.5767226219177,84520.0,424929.8329089746,378032,0.1103660634696382,2392
pr2392,twice-around-the-tree,9.240614891052246,76552.0,523132.9069393881,378032,0.277369106425186,2392
pr264,christofides,0.547182559967041,9064.0,55217.92466130641,49135,0.1101621384472093,264
pr264,twice-around-the-tree,0.0731313228607177,8456.0,66466.8417493333,49135,0.2607592190809509,264
pr299,christofides,1.0599708557128906,10568.0,54028.44026409343,48191,0.1080438420128317,299
pr299,twice-around-the-tree,0.0930895805358886,9576.0,64646.03471992065,48191,0.2545405111266637,299
pr439,christofides,2.67122769355774,15128.0,120378.77288817512,107217,0.1093363270981474,439
pr439,twice-around-the-tree,0.2064104080200195,14056.0,144624.15787804432,107217,0.2586508258847617,439
pr76,christofides,0.0190908908843994,2632.0,118336.23689779808,108159,0.0860027085920242,76
pr76,twice-around-the-tree,0.0060651302337646,2440.0,145338.11445183848,108159,0.2558111792771244,76
rat195,christofides,0.2886383533477783,6824.0,2638.540945828865,2323,0.1195891791361767,195
rat195,twice-around-the-tree,0.0442466735839843,6248.0,3317.723252056972,2323,0.2998210448807773,195
